Fecha,Precio_EUR_MWh,Año
2015-12-17,19.67,2015
2015-12-19,19.4,2015
2015-12-30,19.25,2015
2016-01-06,19.0,2016
2016-01-08,18.75,2016
2016-01-13,18.5,2016
2016-01-15,17.69,2016
2016-01-16,17.52,2016
2016-01-17,17.49,2016
2016-01-18,17.38,2016
2016-01-19,17.31,2016
2016-01-20,17.69,2016
2016-01-21,17.47,2016
2016-01-22,16.94,2016
2016-01-23,16.89,2016
2016-01-24,16.62,2016
2016-01-25,16.79,2016
2016-01-26,16.76,2016
2016-01-27,16.79,2016
2016-01-28,16.98,2016
2016-01-29,16.98,2016
2016-01-30,16.97,2016
2016-01-31,16.83,2016
2016-02-01,16.93,2016
2016-02-02,16.93,2016
2016-02-03,16.93,2016
2016-02-04,16.81,2016
2016-02-05,16.89,2016
2016-02-06,16.19,2016
2016-02-07,16.0,2016
2016-02-08,16.24,2016
2016-02-09,16.54,2016
2016-02-10,16.73,2016
2016-02-11,16.6,2016
2016-02-12,16.27,2016
2016-02-13,15.98,2016
2016-02-14,15.97,2016
2016-02-15,16.62,2016
2016-02-16,16.11,2016
2016-02-17,16.13,2016
2016-02-18,16.34,2016
2016-02-19,16.26,2016
2016-02-20,16.04,2016
2016-02-21,16.04,2016
2016-02-22,16.24,2016
2016-02-23,16.29,2016
2016-02-24,16.18,2016
2016-02-25,16.21,2016
2016-02-26,16.18,2016
2016-02-27,16.18,2016
2016-02-28,16.04,2016
2016-02-29,16.2,2016
2016-03-01,16.24,2016
2016-03-02,16.21,2016
2016-03-03,16.1,2016
2016-03-04,15.89,2016
2016-03-05,15.69,2016
2016-03-06,16.4,2016
2016-03-07,16.38,2016
2016-03-08,16.04,2016
2016-03-09,15.91,2016
2016-03-10,16.19,2016
2016-03-11,16.09,2016
2016-03-12,16.04,2016
2016-03-13,16.15,2016
2016-03-14,16.35,2016
2016-03-15,16.21,2016
2016-03-16,16.14,2016
2016-03-17,16.15,2016
2016-03-18,16.04,2016
2016-03-19,15.93,2016
2016-03-20,15.94,2016
2016-03-21,16.14,2016
2016-03-22,15.94,2016
2016-03-23,15.83,2016
2016-03-24,15.76,2016
2016-03-25,15.69,2016
2016-03-26,15.54,2016
2016-03-27,15.52,2016
2016-03-28,15.39,2016
2016-03-29,15.0,2016
2016-03-30,14.99,2016
2016-03-31,14.89,2016
2016-04-01,14.5,2016
2016-04-02,13.85,2016
2016-04-03,13.54,2016
2016-04-04,13.73,2016
2016-04-05,13.64,2016
2016-04-06,13.5,2016
2016-04-07,13.55,2016
2016-04-08,13.49,2016
2016-04-09,13.24,2016
2016-04-10,13.1,2016
2016-04-11,13.0,2016
2016-04-12,13.05,2016
2016-04-13,13.04,2016
2016-04-14,13.1,2016
2016-04-15,13.04,2016
2016-04-16,12.88,2016
2016-04-17,12.74,2016
2016-04-18,12.78,2016
2016-04-19,12.59,2016
2016-04-20,12.56,2016
2016-04-21,12.9,2016
2016-04-22,13.33,2016
2016-04-23,13.74,2016
2016-04-24,13.45,2016
2016-04-25,13.65,2016
2016-04-26,13.57,2016
2016-04-27,14.16,2016
2016-04-28,14.67,2016
2016-04-29,14.62,2016
2016-04-30,13.53,2016
2016-05-01,13.7,2016
2016-05-02,13.8,2016
2016-05-03,13.9,2016
2016-05-04,13.5,2016
2016-05-05,12.97,2016
2016-05-06,12.48,2016
2016-05-07,12.47,2016
2016-05-08,13.2,2016
2016-05-09,12.5,2016
2016-05-10,12.72,2016
2016-05-11,12.68,2016
2016-05-12,12.78,2016
2016-05-13,13.25,2016
2016-05-14,13.19,2016
2016-05-15,12.74,2016
2016-05-16,12.7,2016
2016-05-17,12.7,2016
2016-05-18,13.25,2016
2016-05-19,13.25,2016
2016-05-20,13.36,2016
2016-05-21,13.29,2016
2016-05-22,13.6,2016
2016-05-23,13.74,2016
2016-05-24,13.3,2016
2016-05-25,13.45,2016
2016-05-26,13.63,2016
2016-05-27,13.77,2016
2016-05-28,13.78,2016
2016-05-29,14.2,2016
2016-05-30,13.95,2016
2016-05-31,14.07,2016
2016-06-01,14.27,2016
2016-06-02,14.05,2016
2016-06-03,14.05,2016
2016-06-04,14.36,2016
2016-06-05,14.25,2016
2016-06-06,14.3,2016
2016-06-07,14.36,2016
2016-06-08,14.54,2016
2016-06-09,14.55,2016
2016-06-10,14.53,2016
2016-06-11,15.05,2016
2016-06-12,15.22,2016
2016-06-13,14.55,2016
2016-06-14,14.46,2016
2016-06-15,14.09,2016
2016-06-16,14.02,2016
2016-06-17,13.89,2016
2016-06-18,14.1,2016
2016-06-19,15.0,2016
2016-06-20,14.9,2016
2016-06-21,14.76,2016
2016-06-22,15.12,2016
2016-06-23,15.04,2016
2016-06-24,15.04,2016
2016-06-25,15.16,2016
2016-06-26,15.35,2016
2016-06-27,15.35,2016
2016-06-28,15.31,2016
2016-06-29,15.02,2016
2016-06-30,15.07,2016
2016-07-01,15.28,2016
2016-07-02,15.22,2016
2016-07-03,15.24,2016
2016-07-04,15.21,2016
2016-07-05,14.93,2016
2016-07-06,14.93,2016
